datetime,open,high,low,close,volume
2026-05-16 04:00,93.0,93.0,93.0,93.0,1
2026-05-16 05:00,100.31,100.31,100.31,100.31,1
2026-05-16 06:00,92.5,92.5,92.5,92.5,1
2026-05-16 07:00,81.49,81.49,81.49,81.49,1
2026-05-16 08:00,72.34,72.34,72.34,72.34,1
2026-05-16 09:00,87.11,87.11,87.11,87.11,1
2026-05-16 10:00,73.84,73.84,73.84,73.84,1
2026-05-16 11:00,63.47,63.47,63.47,63.47,1
2026-05-16 12:00,38.52,38.52,38.52,38.52,1
2026-05-16 13:00,56.02,56.02,56.02,56.02,1
2026-05-16 14:00,37.68,37.68,37.68,37.68,1
2026-05-16 15:00,13.41,13.41,13.41,13.41,1
2026-05-16 16:00,6.76,6.76,6.76,6.76,1
2026-05-16 17:00,10.29,10.29,10.29,10.29,1
2026-05-16 18:00,3.75,3.75,3.75,3.75,1
2026-05-16 19:00,0.89,0.89,0.89,0.89,1
2026-05-16 20:00,0.12,0.12,0.12,0.12,1
2026-05-16 21:00,1.27,1.27,1.27,1.27,1
2026-05-16 22:00,0.19,0.19,0.19,0.19,1
2026-05-16 23:00,0.28,0.28,0.28,0.28,1
2026-05-16 00:00,0.32,0.32,0.32,0.32,1
2026-05-16 01:00,0.82,0.82,0.82,0.82,1
2026-05-16 02:00,1.49,1.49,1.49,1.49,1
2026-05-16 03:00,1.28,1.28,1.28,1.28,1
2026-05-16 04:00,-0.22,-0.22,-0.22,-0.22,1
2026-05-16 05:00,-0.43,-0.43,-0.43,-0.43,1
2026-05-16 06:00,-0.83,-0.83,-0.83,-0.83,1
2026-05-16 07:00,-0.85,-0.85,-0.85,-0.85,1
2026-05-16 08:00,-0.81,-0.81,-0.81,-0.81,1
2026-05-16 09:00,-0.77,-0.77,-0.77,-0.77,1
2026-05-16 11:00,-0.34,-0.34,-0.34,-0.34,1
2026-05-16 12:00,2.91,2.91,2.91,2.91,1
2026-05-16 13:00,2.59,2.59,2.59,2.59,1
